# time in s, flow in mm^3/s
3.955346393783498726e-02,-1.418189777826373899e+01
6.728685564189573753e-02,2.090902922184526687e+03
8.035460216701295622e-02,3.634972091496122630e+03
9.541424975374823703e-02,5.038522490970782201e+03
1.106490095217247394e-01,6.816532778811430944e+03
1.277881142606980269e-01,8.266794352632161463e+03
1.445551056145344404e-01,8.921328663675172720e+03
1.612126518550947019e-01,9.341825544489445747e+03
1.755718507168655407e-01,9.247536390500170455e+03
1.978986538251068517e-01,8.591172157163189695e+03
2.199846776841414275e-01,7.419925577322977915e+03
2.399912443909375526e-01,6.201967823136699735e+03
2.430119295173467364e-01,4.620000000000000000e+03
2.800043778045306908e-01,2.860000000000000455e+03
2.984130458575020572e-01,1.612233774761961968e+03
3.289044544161099370e-01,8.150618364890008252e+02
3.491736893947681164e-01,1.587939148517034482e+02
3.734267264966617539e-01,-7.785115464594477999e+02
3.854875779796427260e-01,-1.387586735252273684e+03
4.077268249972636482e-01,-2.231180912772244483e+03
4.322863084163288683e-01,-2.513181569442921500e+03
4.509357557185069698e-01,-2.233203458465577569e+03
4.840976250410418125e-01,-1.719862099157272496e+03
5.070592098062818298e-01,-1.018809237167559104e+03
5.277662252380428409e-01,-7.389274378898976465e+02
5.422129801904342905e-01,-6.459866476961790340e+02
5.690270329429789609e-01,-5.068162416548079250e+02
5.874138119732952301e-01,-7.885279632264366683e+02
6.078581591331941869e-01,-1.070335996497756241e+03
6.200503447521066303e-01,-1.398566269016089564e+03
6.525993214402974196e-01,-2.195834518988725449e+03
6.749480135711936057e-01,-2.805391266279960746e+03
7.053737550618361940e-01,-3.742985662690160098e+03
7.318813614972088377e-01,-4.259120061289258956e+03
7.687424756484619870e-01,-4.635313560249537659e+03
8.015978986538250251e-01,-4.777277005581695448e+03
8.306008536718834101e-01,-4.357357994965518628e+03
8.514392032395752263e-01,-3.796631279413376433e+03
8.764364671117430561e-01,-3.142482215169094616e+03
8.993323848090182260e-01,-2.581851811316623298e+03
9.304585750246248121e-01,-2.021606654262883012e+03
9.677355806063252519e-01,-1.508457918353939476e+03
1.000000000000000000e+00,-9.953091824450000331e+02
